symbol,security_id,isin,company,industry,yfinance_symbol
GRAPHITE,592,INE371A01025,Graphite India Ltd.,Capital Goods,GRAPHITE.NS
GRASIM,1232,INE047A01021,Grasim Industries Ltd.,Construction Materials,GRASIM.NS
GRAVITA,20534,INE024L01027,Gravita India Ltd.,Metals & Mining,GRAVITA.NS
GESHIP,13776,INE017A01032,Great Eastern Shipping Co. Ltd.,Services,GESHIP.NS
FLUOROCHEM,13750,INE09N301011,Gujarat Fluorochemicals Ltd.,Chemicals,FLUOROCHEM.NS
GMDCLTD,5204,INE131A01031,Gujarat Mineral Development Corporation Ltd.,Metals & Mining,GMDCLTD.NS
HEG,1336,INE545A01024,H.E.G. Ltd.,Capital Goods,HEG.NS
HBLENGINE,13966,INE292B01021,HBL Engineering Ltd.,Capital Goods,HBLENGINE.NS
HCLTECH,7229,INE860A01027,HCL Technologies Ltd.,Information Technology,HCLTECH.NS
HDBFS,757772,INE756I01012,HDB Financial Services Ltd.,Financial Services,HDBFS.NS
HDFCAMC,4244,INE127D01025,HDFC Asset Management Company Ltd.,Financial Services,HDFCAMC.NS
HDFCBANK,1333,INE040A01034,HDFC Bank Ltd.,Financial Services,HDFCBANK.NS
HDFCLIFE,467,INE795G01014,HDFC Life Insurance Company Ltd.,Financial Services,HDFCLIFE.NS
HFCL,21951,INE548A01028,HFCL Ltd.,Telecommunication,HFCL.NS
HAVELLS,9819,INE176B01034,Havells India Ltd.,Consumer Durables,HAVELLS.NS
HEROMOTOCO,1348,INE158A01026,Hero MotoCorp Ltd.,Automobile and Auto Components,HEROMOTOCO.NS
HEXT,29666,INE093A01041,Hexaware Technologies Ltd.,Information Technology,HEXT.NS
HSCL,14334,INE019C01026,Himadri Speciality Chemical Ltd.,Chemicals,HSCL.NS
HINDALCO,1363,INE038A01020,Hindalco Industries Ltd.,Metals & Mining,HINDALCO.NS
HAL,2303,INE066F01020,Hindustan Aeronautics Ltd.,Capital Goods,HAL.NS
HINDCOPPER,17939,INE531E01026,Hindustan Copper Ltd.,Metals & Mining,HINDCOPPER.NS
HINDPETRO,1406,INE094A01015,Hindustan Petroleum Corporation Ltd.,Oil Gas & Consumable Fuels,HINDPETRO.NS
HINDUNILVR,1394,INE030A01027,Hindustan Unilever Ltd.,Fast Moving Consumer Goods,HINDUNILVR.NS
HINDZINC,1424,INE267A01025,Hindustan Zinc Ltd.,Metals & Mining,HINDZINC.NS
POWERINDIA,18457,INE07Y701011,Hitachi Energy India Ltd.,Capital Goods,POWERINDIA.NS
HOMEFIRST,2056,INE481N01025,Home First Finance Company India Ltd.,Financial Services,HOMEFIRST.NS
HONASA,19813,INE0J5401028,Honasa Consumer Ltd.,Fast Moving Consumer Goods,HONASA.NS
HONAUT,3417,INE671A01010,Honeywell Automation India Ltd.,Capital Goods,HONAUT.NS
HUDCO,20825,INE031A01017,Housing & Urban Development Corporation Ltd.,Financial Services,HUDCO.NS
HYUNDAI,25844,INE0V6F01027,Hyundai Motor India Ltd.,Automobile and Auto Components,HYUNDAI.NS
ICICIBANK,4963,INE090A01021,ICICI Bank Ltd.,Financial Services,ICICIBANK.NS
ICICIGI,21770,INE765G01017,ICICI Lombard General Insurance Company Ltd.,Financial Services,ICICIGI.NS
ICICIAMC,760407,INE346A01027,ICICI Prudential Asset Management Company Ltd.,Financial Services,ICICIAMC.NS
ICICIPRULI,18652,INE726G01019,ICICI Prudential Life Insurance Company Ltd.,Financial Services,ICICIPRULI.NS
IDBI,1476,INE008A01015,IDBI Bank Ltd.,Financial Services,IDBI.NS
IDFCFIRSTB,11184,INE092T01019,IDFC First Bank Ltd.,Financial Services,IDFCFIRSTB.NS
IFCI,1491,INE039A01010,IFCI Ltd.,Financial Services,IFCI.NS
IIFL,11809,INE530B01024,IIFL Finance Ltd.,Financial Services,IIFL.NS
IRB,15313,INE821I01022,IRB Infrastructure Developers Ltd.,Construction,IRB.NS
IRCON,4986,INE962Y01021,IRCON International Ltd.,Construction,IRCON.NS
ITCHOTELS,29251,INE379A01028,ITC Hotels Ltd.,Consumer Services,ITCHOTELS.NS
ITC,1660,INE154A01025,ITC Ltd.,Fast Moving Consumer Goods,ITC.NS
ITI,1675,INE248A01017,ITI Ltd.,Telecommunication,ITI.NS
INDGN,23693,INE065X01017,Indegene Ltd.,Healthcare,INDGN.NS
INDIACEM,1515,INE383A01012,India Cements Ltd.,Construction Materials,INDIACEM.NS
INDIAMART,10726,INE933S01016,Indiamart Intermesh Ltd.,Consumer Services,INDIAMART.NS
INDIANB,14309,INE562A01011,Indian Bank,Financial Services,INDIANB.NS
IEX,220,INE022Q01020,Indian Energy Exchange Ltd.,Financial Services,IEX.NS
INDHOTEL,1512,INE053A01029,Indian Hotels Co. Ltd.,Consumer Services,INDHOTEL.NS
IOC,1624,INE242A01010,Indian Oil Corporation Ltd.,Oil Gas & Consumable Fuels,IOC.NS
